Technique:TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8672985781990521
Technique:TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8546603475513428
Technique:TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.8775671406003159
Technique:TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8704581358609794
Technique:TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.872827804107425
Technique:TF 4-gram    , Stem:True, Stop:True, Accuracy:0.811216429699842
Technique:TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.7053712480252765
Technique: TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8499210110584519
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.8625592417061612
Technique: TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8688783570300158
Technique: TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.8657187993680885
Technique: TF 4-gram    , Stem:True, Stop:True, Accuracy:0.6824644549763034
Technique: TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.6879936808846762
Technique: TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8499210110584519, Precision:[0.84968354 0.85015773], Recall:[0.84968354 0.85015773], Fscore:[0.84968354 0.85015773]
Technique: TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8625592417061612, Precision:[0.83128834 0.89576547], Recall:[0.89438944 0.83333333], Fscore:[0.86168521 0.86342229]
Technique: TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8641390205371248, Precision:[0.85451761 0.87438825], Recall:[0.87874016 0.84944532], Fscore:[0.86645963 0.86173633]
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.8625592417061612, Precision:[0.85339506 0.87216828], Recall:[0.875      0.85015773], Fscore:[0.8640625  0.86102236]
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.8775671406003159, Precision:[0.84853168 0.90791599], Recall:[0.90594059 0.85151515], Fscore:[0.87629689 0.87881157]
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.882306477093207, Precision:[0.87155963 0.89379085], Recall:[0.8976378  0.86687797], Fscore:[0.88440652 0.88012872]
Technique: TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8688783570300158, Precision:[0.89358108 0.84718101], Recall:[0.83702532 0.90063091], Fscore:[0.86437908 0.87308869]
Technique: TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8846761453396524, Precision:[0.85493827 0.91585761], Recall:[0.91419142 0.85757576], Fscore:[0.88357257 0.885759  ]
Technique: TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8704581358609794, Precision:[0.89054726 0.85218703], Recall:[0.84566929 0.89540412], Fscore:[0.86752827 0.87326121]
Technique: TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.8657187993680885, Precision:[0.87138264 0.86024845], Recall:[0.85759494 0.87381703], Fscore:[0.86443381 0.86697966]
Technique: TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.8767772511848341, Precision:[0.83382789 0.92567568], Recall:[0.92739274 0.83030303], Fscore:[0.878125   0.87539936]
Technique: TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.8657187993680885, Precision:[0.87319422 0.85847589], Recall:[0.85669291 0.8748019 ], Fscore:[0.86486486 0.86656201]
Technique: TF 4-gram    , Stem:True, Stop:True, Accuracy:0.6824644549763034, Precision:[0.96747967 0.61372549], Recall:[0.37658228 0.9873817 ], Fscore:[0.54214123 0.75695284]
Technique: TF 4-gram    , Stem:True, Stop:True, Accuracy:0.8246445497630331, Precision:[0.77988338 0.87758621], Recall:[0.88283828 0.77121212], Fscore:[0.82817337 0.82096774]
Technique: TF 4-gram    , Stem:True, Stop:True, Accuracy:0.6824644549763034, Precision:[0.95686275 0.6132542 ], Recall:[0.38425197 0.98256735], Fscore:[0.54831461 0.75517661]
Technique: TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.6879936808846762, Precision:[0.9100346 0.6223132], Recall:[0.41613924 0.95899054], Fscore:[0.57111835 0.75481068]
Technique: TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.830173775671406, Precision:[0.77266388 0.90528233], Recall:[0.91419142 0.7530303 ], Fscore:[0.83749055 0.82216708]
Technique: TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.6943127962085308, Precision:[0.91059603 0.62655602], Recall:[0.43307087 0.95721078], Fscore:[0.58697972 0.75736677]
Technique: TF 1-gram    , Stem:False, Stop:True, Accuracy:0.8570300157977883, Precision:[0.85289515 0.86124402], Recall:[0.86234177 0.85173502], Fscore:[0.85759245 0.85646312]
Technique: TF 1-gram    , Stem:False, Stop:True, Accuracy:0.868088467614534, Precision:[0.83308042 0.90609555], Recall:[0.90594059 0.83333333], Fscore:[0.86798419 0.86819258]
Technique: TF 1-gram    , Stem:False, Stop:True, Accuracy:0.8736176935229067, Precision:[0.86259542 0.88543372], Recall:[0.88976378 0.85736926], Fscore:[0.87596899 0.87117552]
Technique: TF-IDF 1-gram, Stem:False, Stop:True, Accuracy:0.8688783570300158, Precision:[0.85626911 0.88235294], Recall:[0.88607595 0.85173502], Fscore:[0.87091757 0.86677368]
Technique: TF-IDF 1-gram, Stem:False, Stop:True, Accuracy:0.8775671406003159, Precision:[0.83808096 0.92153589], Recall:[0.92244224 0.83636364], Fscore:[0.87824038 0.87688642]
Technique: TF-IDF 1-gram, Stem:False, Stop:True, Accuracy:0.8815165876777251, Precision:[0.87365177 0.8897893 ], Recall:[0.89291339 0.87004754], Fscore:[0.88317757 0.87980769]
Technique: TF 2-gram    , Stem:False, Stop:True, Accuracy:0.8688783570300158, Precision:[0.89491525 0.84615385], Recall:[0.83544304 0.9022082 ], Fscore:[0.86415712 0.87328244]
Technique: TF 2-gram    , Stem:False, Stop:True, Accuracy:0.8981042654028436, Precision:[0.8744113  0.92209857], Recall:[0.91914191 0.87878788], Fscore:[0.89621883 0.89992242]
Technique: TF 2-gram    , Stem:False, Stop:True, Accuracy:0.8704581358609794, Precision:[0.89847716 0.84592593], Recall:[0.83622047 0.90491284], Fscore:[0.86623165 0.87442573]
Technique: TF-IDF 2-gram, Stem:False, Stop:True, Accuracy:0.8704581358609794, Precision:[0.87864078 0.86265432], Recall:[0.85917722 0.88170347], Fscore:[0.8688     0.87207488]
Technique: TF-IDF 2-gram, Stem:False, Stop:True, Accuracy:0.8886255924170616, Precision:[0.84857571 0.93322204], Recall:[0.9339934 0.8469697], Fscore:[0.88923802 0.88800635]
Technique: TF-IDF 2-gram, Stem:False, Stop:True, Accuracy:0.8720379146919431, Precision:[0.88330632 0.86132512], Recall:[0.85826772 0.8858954 ], Fscore:[0.87060703 0.8734375 ]
Technique: TF 4-gram    , Stem:False, Stop:True, Accuracy:0.6714060031595577, Precision:[0.97368421 0.60500963], Recall:[0.35126582 0.99053628], Fscore:[0.51627907 0.75119617]
Technique: TF 4-gram    , Stem:False, Stop:True, Accuracy:0.8167456556082149, Precision:[0.77339181 0.86769759], Recall:[0.87293729 0.76515152], Fscore:[0.82015504 0.81320451]
Technique: TF 4-gram    , Stem:False, Stop:True, Accuracy:0.6714060031595577, Precision:[0.958159   0.60467381], Recall:[0.36062992 0.98415214], Fscore:[0.52402746 0.7490953 ]
Technique: TF-IDF 4-gram, Stem:False, Stop:True, Accuracy:0.6785150078988942, Precision:[0.92134831 0.61361361], Recall:[0.38924051 0.96687697], Fscore:[0.54727475 0.75076546]
Technique: TF-IDF 4-gram, Stem:False, Stop:True, Accuracy:0.8191153238546603, Precision:[0.76511955 0.88828829], Recall:[0.89768977 0.7469697 ], Fscore:[0.82611997 0.81152263]
Technique: TF-IDF 4-gram, Stem:False, Stop:True, Accuracy:0.6832543443917851, Precision:[0.89527027 0.6185567 ], Recall:[0.41732283 0.95087163], Fscore:[0.56928034 0.74953154]
